id;the_geom;type;crossing
nodes.297;POINT (167070.1062902449 5391972.419109856);;
nodes.298;POINT (166999.41841359116 5391961.2425511805);;
nodes.299;POINT (166977.25470297423 5391945.85945264);;
nodes.300;POINT (166778.4046965702 5391392.545464408);;
nodes.301;POINT (166772.42683991464 5391389.398414848);;
nodes.302;POINT (166728.18847427334 5391366.140984158);;
nodes.303;POINT (166725.08266048023 5391364.513733768);;
nodes.304;POINT (166695.44941203107 5391348.916706792);;
nodes.305;POINT (166781.45485061794 5391386.865424512);;
nodes.306;POINT (166730.0029819733 5391361.9807502385);;
nodes.307;POINT (166646.9697737906 5391314.698518172);;
nodes.308;POINT (166689.71645825522 5391431.354046419);;
nodes.309;POINT (166687.85742275897 5391448.194688171);;
nodes.310;POINT (166677.09282799924 5391545.631527368);;
nodes.311;POINT (166474.45795890823 5390665.22166153);;
nodes.312;POINT (166490.56588922607 5390650.669627871);;
nodes.313;POINT (166490.421173888 5390659.603468613);;
nodes.314;POINT (166481.74938555522 5390666.3729309905);;
nodes.315;POINT (166476.50623753885 5390666.32688021);;
nodes.316;POINT (166511.0598074811 5390753.931230333);;
nodes.317;POINT (166524.4070144272 5390761.023120404);;
nodes.318;POINT (166573.98871562653 5390787.349123453);;
nodes.319;POINT (166670.30233906084 5390843.040763054);;
nodes.320;POINT (167406.8254859964 5390662.458615405);;
nodes.321;POINT (167281.27936427973 5390598.816681149);;
nodes.322;POINT (167213.97560014616 5391045.163702256);;
nodes.323;POINT (167283.4612262993 5390896.9674134245);;
nodes.324;POINT (167345.13222419875 5390776.373550405);;
nodes.325;POINT (167459.2347022619 5390559.259432957);;
nodes.326;POINT (167622.49586745928 5390972.6924427375);;
nodes.327;POINT (167613.2229538762 5390969.29992362);;
nodes.328;POINT (167605.05210325198 5390950.725519693);;
nodes.329;POINT (167625.67960489597 5390952.275943719);;
nodes.330;POINT (167631.34576697735 5390962.530239856);;
nodes.331;POINT (167626.50336912784 5390970.850350754);;
nodes.332;POINT (167882.21537142908 5391118.387728219);;
nodes.333;POINT (167863.23539824883 5391126.907542421);;
nodes.334;POINT (167848.49669766778 5391115.547791893);;
nodes.335;POINT (167848.05141970463 5391113.674969497);;
nodes.336;POINT (167850.08856638614 5391097.372220032);;
nodes.337;POINT (167871.52870031292 5391090.126562812);;
nodes.338;POINT (167883.29517048976 5391099.337145001);;
nodes.339;POINT (167818.72986582966 5391195.542223374);;
nodes.340;POINT (167790.85546533504 5391246.385329931);;
nodes.341;POINT (167753.6079637156 5391317.753434315);;
nodes.342;POINT (167737.26626246714 5391304.4898861125);;
nodes.343;POINT (167778.0648558429 5391240.198789674);;
nodes.344;POINT (167808.05432666256 5391189.371068201);;
nodes.345;POINT (168304.18303323005 5391371.345117045);;
nodes.346;POINT (168296.74689124507 5391358.327114611);;
nodes.347;POINT (168310.79541098318 5391350.559305837);;
nodes.348;POINT (168317.87533059763 5391363.761514346);;
nodes.349;POINT (168223.7101733356 5391340.304580123);;
nodes.350;POINT (168084.51628204767 5391308.066743882);;
nodes.351;POINT (168071.19133899975 5391305.180695447);;
nodes.352;POINT (168014.6076418295 5391293.605808083);;
nodes.353;POINT (167988.65906852557 5391292.454460662);;
nodes.354;POINT (167926.00845910716 5391282.245853119);;
nodes.355;POINT (167866.55271907445 5391269.611757404);;
nodes.356;POINT (167804.12474863758 5391249.946814039);;
nodes.357;POINT (168488.23867930766 5391618.36825103);;
nodes.358;POINT (168484.37589297714 5391602.985721954);;
nodes.359;POINT (168478.93236987732 5391508.035247235);;
nodes.360;POINT (168429.2950089326 5391418.76580184);;
nodes.361;POINT (168335.35249065218 5391369.410837223);;
nodes.362;POINT (167834.8711919947 5391089.71208683);;
nodes.363;POINT (166333.43842797136 5391912.8211876545);;
nodes.364;POINT (166732.00673280755 5390966.122316339);;
nodes.365;POINT (166787.78892964407 5390920.561381102);;
nodes.366;POINT (166687.15610996695 5390805.7082929);;
nodes.367;POINT (166727.07527936544 5390720.973968281);;
nodes.368;POINT (166430.50902394307 5390919.149118494);;
nodes.369;POINT (166480.94788522148 5390816.069880346);;
nodes.370;POINT (165966.3178792842 5391632.630119674);;
nodes.371;POINT (165945.38981501508 5391655.642589117);;
nodes.372;POINT (166157.3198615873 5391598.733270816);;
nodes.373;POINT (166136.0578388458 5391542.054577856);;
nodes.374;POINT (166038.3304578784 5391421.928212894);;
nodes.375;POINT (166109.2298415646 5391551.449830174);;
nodes.376;POINT (165755.55668736532 5391562.748708328);;
nodes.377;POINT (166064.30129508046 5391286.559564104);;
nodes.378;POINT (166230.23412805688 5391124.72769732);;
nodes.379;POINT (166353.9212142773 5391099.797674352);;
nodes.380;POINT (166379.001495553 5391022.321608835);;
nodes.381;POINT (166373.90306287468 5390946.028196997);;
nodes.382;POINT (166171.39064522355 5391366.048875636);;
nodes.383;POINT (166292.62870264653 5391486.727174183);;
nodes.384;POINT (166216.86465721263 5391343.282747797);;
nodes.385;POINT (165647.03131579093 5391083.233983134);;
nodes.386;POINT (165933.89051161613 5391117.113594518);;
nodes.387;POINT (165920.07576280867 5391026.190023915);;
nodes.388;POINT (165986.73387389566 5391068.190063124);;
nodes.389;POINT (166093.9345435296 5390983.86780863);;
nodes.390;POINT (166266.11239993956 5390912.901394113);;
nodes.391;POINT (166025.06117457582 5390817.159766514);;
nodes.392;POINT (165966.72976140014 5390885.423737404);;
nodes.393;POINT (165941.72740376796 5390931.168708206);;
nodes.394;POINT (166035.22464408525 5390937.892316916);;
nodes.395;POINT (166078.02698829526 5390859.297013157);;
nodes.396;POINT (166721.17534635338 5390889.33814721);;
nodes.397;POINT (166735.9697066798 5390856.8409206625);;
nodes.398;POINT (166770.5455405202 5390762.435358902);;
nodes.399;POINT (166774.35266710536 5390763.97040099);;
nodes.400;POINT (166755.67325655022 5390864.899976605);;
nodes.401;POINT (167118.396685351 5391110.190292766);;
nodes.402;POINT (167091.590951968 5391128.672910303);;
nodes.403;POINT (167082.06200355612 5391214.3320345925);;
nodes.404;POINT (167061.36771021763 5391193.178148518);;
nodes.405;POINT (166990.6798335639 5391166.682130056);;
nodes.406;POINT (166923.45399307384 5391161.785133784);;
nodes.407;POINT (167147.74050312417 5391155.537245742);;
nodes.408;POINT (167081.627857542 5391127.045701633);;
nodes.409;POINT (167008.89170225768 5391094.056410094);;
nodes.410;POINT (166903.53893617092 5391048.2031786125);;
nodes.411;POINT (166832.8621914663 5391018.499247894);;
nodes.412;POINT (166982.69822607402 5391190.445647165);;
nodes.413;POINT (166994.07507803309 5391151.208244707);;
nodes.414;POINT (167043.84602236678 5391229.621811063);;
nodes.415;POINT (167112.45222454265 5391084.124338354);;
nodes.416;POINT (167064.8631422285 5391242.992710571);;
nodes.417;POINT (166885.90592882925 5391820.185714397);;
nodes.418;POINT (166921.59495757762 5391838.009604038);;
nodes.419;POINT (166955.5807981168 5391860.592721052);;
nodes.420;POINT (165989.42780557286 5390715.294340184);;
nodes.421;POINT (165655.31348590596 5390721.4958802285);;
nodes.422;POINT (165290.8757369469 5390564.417062257);;
nodes.423;POINT (165302.90937390167 5390720.897216529);;
nodes.424;POINT (165336.51672817217 5390835.288736929);;
nodes.425;POINT (165275.20195264323 5390770.586435306);;
nodes.426;POINT (165262.77869747073 5391009.457605208);;
nodes.427;POINT (165621.79518722807 5390744.859145106);;
nodes.428;POINT (165493.69984917226 5390846.080173088);;
nodes.429;POINT (165582.38808748728 5390924.076687869);;
nodes.430;POINT (165582.23224020016 5390775.544626538);;
nodes.431;POINT (165588.87801380054 5390810.54369893);;
nodes.432;POINT (165956.97817400665 5390344.391463945);;
nodes.433;POINT (165897.73394100645 5390119.658838437);;
nodes.434;POINT (165892.3906054484 5390056.0206331555);;
nodes.435;POINT (165819.06445686286 5389840.074564701);;
nodes.436;POINT (165649.12412221785 5389625.913959858);;
nodes.437;POINT (165470.55652703636 5389401.582466671);;
nodes.438;POINT (165395.56058608892 5389236.146074983);;
nodes.439;POINT (165318.1935399876 5388983.8762288485);;
nodes.440;POINT (165331.15112871595 5388845.028682082);;
nodes.441;POINT (165334.43505369432 5388832.505340354);;
nodes.442;POINT (165342.41666118422 5388754.787333378);;
nodes.443;POINT (165299.84808790486 5388481.720524222);;
nodes.444;POINT (165421.9655693051 5390295.794356064);;
nodes.445;POINT (165714.13470484113 5390414.248334445);;
nodes.446;POINT (165737.56745765312 5390412.237505274);;
nodes.447;POINT (165815.0569551943 5390399.926942323);;
nodes.448;POINT (165866.86504620948 5390511.1216979325);;
nodes.449;POINT (165725.03288298976 5390435.753488959);;
nodes.450;POINT (165693.75210607686 5390473.591016202);;
nodes.451;POINT (165652.55276253427 5390531.813525315);;
nodes.452;POINT (165821.95876362346 5390525.45861199);;
nodes.453;POINT (166107.07024344322 5390207.089174387);;
nodes.454;POINT (167214.57672539641 5390872.17615885);;
nodes.455;POINT (167126.0554663176 5390841.321501258);;
nodes.456;POINT (167010.5503626705 5390739.486509987);;
nodes.457;POINT (167073.3234235288 5390984.696751139);;
nodes.458;POINT (167258.9041466303 5390594.7949431185);;
nodes.459;POINT (167252.28063692807 5390582.791139989);;
nodes.460;POINT (167258.88188273212 5390562.743902437);;
nodes.461;POINT (167201.01801141776 5390564.647313631);;
nodes.462;POINT (167119.47648441172 5390510.169997785);;
nodes.463;POINT (167101.88800486637 5390603.667329343);;
nodes.464;POINT (167140.83869469495 5390638.803904271);;
nodes.465;POINT (167200.43915006565 5390667.478149808);;
nodes.466;POINT (167216.59160817976 5390676.089650942);;
nodes.467;POINT (167273.77643060026 5390712.761534182);;
nodes.468;POINT (167295.53939105035 5390714.219816341);;
nodes.469;POINT (167504.00740145892 5390365.650860089);;
nodes.470;POINT (167457.25321532573 5390346.908819498);;
nodes.471;POINT (167463.44257901385 5390291.373658965);;
