id;the_geom;type;flats;height;levels
buildings.11;MULTIPOLYGON (((166001.0606923608 5392012.642550772, 166024.0147713624 5392021.823345358, 166043.09493208432 5391975.842701269, 166021.71045790295 5391965.786864619, 166001.0606923608 5392012.642550772)));tennis;1;0.0;0
buildings.12;MULTIPOLYGON (((165820.0774642291 5391825.727850396, 165819.62105431684 5391836.658610341, 165819.46520702972 5391840.373843483, 165838.14461758483 5391841.156806028, 165838.69008308972 5391828.337721682, 165838.76800673324 5391826.602924802, 165820.0774642291 5391825.727850396)));yes;1;0.0;0
buildings.13;MULTIPOLYGON (((165970.99329789754 5392057.256999112, 165992.62267495863 5392065.91585019, 166011.1796340739 5392022.667733278, 165988.53724964656 5392011.184064175, 165970.99329789754 5392057.256999112)));tennis;1;0.0;0
buildings.14;MULTIPOLYGON (((166548.55221198025 5391405.210430775, 166559.14982750377 5391409.938689325, 166572.35231911187 5391384.209623268, 166561.75470358832 5391379.880515362, 166548.55221198025 5391405.210430775)));yes;1;0.0;0
buildings.15;MULTIPOLYGON (((166184.3482339519 5391674.095591244, 166191.80663983503 5391683.659848911, 166207.936834051 5391670.518592122, 166200.16673359365 5391661.553072485, 166184.3482339519 5391674.095591244)));swimming;1;0.0;0
buildings.16;MULTIPOLYGON (((166300.63257403456 5391675.354449634, 166369.45028324294 5391674.617556898, 166370.4632906092 5391640.167886892, 166300.57691428918 5391643.00798407, 166300.63257403456 5391675.354449634)));yes;1;0.0;0
buildings.17;MULTIPOLYGON (((168303.29247730368 5389621.86194711, 168315.74912832348 5389631.700359918, 168326.52485503224 5389617.948072849, 168320.16851210798 5389613.036546699, 168318.44306000066 5389615.06255092, 168312.52086309044 5389610.488693535, 168303.29247730368 5389621.86194711)));yes;1;0.0;0
buildings.18;MULTIPOLYGON (((166343.7911406151 5388533.515582759, 166349.39051100204 5388523.064467632, 166351.21615065102 5388519.657498728, 166359.20889008997 5388514.838634938, 166357.38325044097 5388511.784642942, 166367.41313656146 5388505.369728366, 166362.61526650822 5388497.911244744, 166361.71357863283 5388498.448378139, 166355.51308299563 5388488.0740358215, 166349.74673337254 5388491.9413928455, 166351.97312318842 5388495.471124866, 166354.19951300428 5388499.016204902, 166349.668809729 5388501.978112639, 166344.90433552302 5388505.093488123, 166346.1511138199 5388507.334103649, 166344.7150923887 5388508.439064929, 166342.26606359123 5388506.873703156, 166337.9357353994 5388514.961408508, 166332.4365525542 5388525.2437006505, 166338.72610378402 5388529.00364615, 166338.0915826865 5388530.492278054, 166343.7911406151 5388533.515582759)));yes;1;0.0;0
buildings.19;MULTIPOLYGON (((167472.69322869877 5389540.423006108, 167479.5727732298 5389541.159729092, 167480.07371093836 5389536.785437246, 167473.12737471287 5389536.018017834, 167472.69322869877 5389540.423006108)));yes;1;0.0;0
buildings.20;MULTIPOLYGON (((167469.62081075288 5389583.628838351, 167463.24220393042 5389589.645439144, 167465.60217713524 5389592.193286575, 167472.00304785586 5389586.192032599, 167469.62081075288 5389583.628838351)));yes;1;0.0;0
buildings.21;MULTIPOLYGON (((166343.7911406151 5388533.515582759, 166345.48319687517 5388539.101793038, 166354.51120757847 5388544.181564099, 166361.69131473466 5388530.522971497, 166349.39051100204 5388523.064467632, 166343.7911406151 5388533.515582759)));yes;1;0.0;0
buildings.22;MULTIPOLYGON (((167228.91467581058 5389367.110552582, 167233.41198323865 5389370.456440669, 167240.5364306494 5389360.86387484, 167236.1059149158 5389357.103591743, 167228.91467581058 5389367.110552582)));yes;1;0.0;0
buildings.23;MULTIPOLYGON (((168324.098090133 5389674.875920611, 168329.0406755242 5389671.729454539, 168325.01090995746 5389665.022113356, 168319.9904009227 5389668.153228543, 168324.098090133 5389674.875920611)));yes;1;0.0;0
buildings.24;MULTIPOLYGON (((167249.57557330184 5389388.183528459, 167232.3989758724 5389411.113681936, 167243.89827927138 5389419.800756242, 167246.74805823565 5389415.948360092, 167250.65537236253 5389418.711034462, 167256.97831943957 5389410.607191988, 167253.78345005383 5389407.875216389, 167261.77618949275 5389397.254285199, 167249.57557330184 5389388.183528459)));yes;1;0.0;0
buildings.25;MULTIPOLYGON (((167428.22109212686 5389599.69869664, 167437.42721401545 5389609.245464233, 167441.73527830915 5389605.11671627, 167432.58481616597 5389595.600649899, 167428.22109212686 5389599.69869664)));yes;1;0.0;0
buildings.26;MULTIPOLYGON (((169686.05866414146 5389986.8111275695, 169694.2072508675 5389995.943867045, 169708.75670831418 5389982.820353482, 169700.60812158813 5389973.687626939, 169686.05866414146 5389986.8111275695)));yes;1;0.0;0
buildings.27;MULTIPOLYGON (((167502.10383816634 5389513.271735408, 167513.53634987085 5389517.799499726, 167522.88718709745 5389494.009576351, 167511.37675174943 5389489.45112704, 167502.10383816634 5389513.271735408)));yes;1;0.0;0
buildings.28;MULTIPOLYGON (((167446.33277327893 5389584.304170899, 167456.93038880243 5389595.615998386, 167463.24220393042 5389589.645439144, 167469.62081075288 5389583.628838351, 167459.03432717847 5389572.347722397, 167454.67060313936 5389576.461107304, 167456.29586770493 5389578.164785915, 167452.49987306888 5389581.740977174, 167450.87460850328 5389580.021949448, 167446.33277327893 5389584.304170899)));yes;1;0.0;0
