id;the_geom;junction;type;lanes;maxspeed;oneway
roads.19;MULTILINESTRING ((166163.84318374778 5391999.055605581, 166155.08233982237 5392014.776547366, 166097.50789918407 5392100.382456442, 166082.52429572327 5392101.76419389, 166072.5612012973 5392098.355908565, 166066.23825422025 5392095.285382312, 166060.41624485177 5392087.516955455, 166059.77059180517 5392079.5028934665, 166113.23734323317 5391995.954407325, 166122.6438402052 5391990.934152944, 166128.15415499947 5391988.416350552));;residential;1;50.0;
roads.20;MULTILINESTRING ((166128.15415499947 5391988.416350552, 166122.6438402052 5391990.934152944, 166113.23734323317 5391995.954407325, 166059.77059180517 5392079.5028934665, 166060.41624485177 5392087.516955455, 166066.23825422025 5392095.285382312, 166072.5612012973 5392098.355908565, 166082.52429572327 5392101.76419389, 166097.50789918407 5392100.382456442, 166155.08233982237 5392014.776547366, 166163.84318374778 5391999.055605581));;residential;1;50.0;
roads.21;MULTILINESTRING ((166128.15415499947 5391988.416350552, 166134.07635190967 5391989.475669766, 166148.30298283306 5391993.3598412685, 166163.84318374778 5391999.055605581));;residential;1;50.0;
roads.22;MULTILINESTRING ((166163.84318374778 5391999.055605581, 166148.30298283306 5391993.3598412685, 166134.07635190967 5391989.475669766, 166128.15415499947 5391988.416350552));;residential;1;50.0;
roads.23;MULTILINESTRING ((166860.28018204865 5390746.747243327, 166851.25217134535 5390744.153027169));;residential;1;50.0;
roads.24;MULTILINESTRING ((166851.25217134535 5390744.153027169, 166860.28018204865 5390746.747243327));;residential;1;50.0;
roads.25;MULTILINESTRING ((166851.25217134535 5390744.153027169, 166845.8643079909 5390742.218878313));;residential;1;50.0;
roads.26;MULTILINESTRING ((166845.8643079909 5390742.218878313, 166851.25217134535 5390744.153027169));;residential;1;50.0;
roads.27;MULTILINESTRING ((166845.8643079909 5390742.218878313, 166808.04907696845 5390726.392643741, 166799.33276083934 5390722.831360932, 166790.05984725626 5390721.2963256575));;residential;1;50.0;
roads.28;MULTILINESTRING ((166790.05984725626 5390721.2963256575, 166799.33276083934 5390722.831360932, 166808.04907696845 5390726.392643741, 166845.8643079909 5390742.218878313));;residential;1;50.0;
roads.29;MULTILINESTRING ((166790.05984725626 5390721.2963256575, 166780.48637104803 5390719.009123572, 166771.31364500665 5390714.803129272));;residential;1;50.0;
roads.30;MULTILINESTRING ((166771.31364500665 5390714.803129272, 166780.48637104803 5390719.009123572, 166790.05984725626 5390721.2963256575));;residential;1;50.0;
roads.31;MULTILINESTRING ((166771.31364500665 5390714.803129272, 166760.98319626102 5390710.059875209, 166746.30015542542 5390704.549107363, 166738.1738325975 5390701.832100467));;residential;1;50.0;
roads.32;MULTILINESTRING ((166738.1738325975 5390701.832100467, 166746.30015542542 5390704.549107363, 166760.98319626102 5390710.059875209, 166771.31364500665 5390714.803129272));;residential;1;50.0;
roads.33;MULTILINESTRING ((166470.6619642722 5390647.860535402, 166464.17203795892 5390650.562176234, 166455.83420809853 5390651.391088917, 166408.2005979881 5390657.454433971, 166364.85278827316 5390660.892889637, 166352.54085259145 5390663.855488621, 166310.80717549307 5390667.432099022));;tertiary;1;50.0;yes
roads.34;MULTILINESTRING ((166310.80717549307 5390667.432099022, 166305.49723578224 5390668.092160317));;tertiary;1;50.0;yes
roads.35;MULTILINESTRING ((166305.49723578224 5390668.092160317, 166286.88461692157 5390670.348649298, 166273.3036390448 5390672.620489097));;tertiary;1;50.0;yes
